## 置顶词与自定义词组在这个文件里指定
## 格式：文本-输入码-权重，其间用 Tab 符分隔。
## 如要添加新的，可以复制已有的行，然后在其基础上修改。
## 置顶字词
是	u	1
是	s	1
去	q	1
我	w	2
有	y	2
又	y	1
哦	o	1
的	d	3
地	d	2
大	d	1
个	g	1
和	h	1
就	j	1
可	k	1
了	l	1
在	z	2
再	z	1
下	x	1
啊	a	1
吧	b	1
把	b	1
才	c	1
你	n	1
吗	m	1
這	v	1
发	f	1
人	r	1
他	t	2
她	t	1
等	df	1
等待	dfd	2
等等	dfd	1
涉及	uej	2
手机号	sjh	1
18939740924	sjhm	2


## 常用个人信息
## 注意最后的数字控制优先级，希望排在前面的要设置得大一些
##姓名（在custom_phrase.txt里设置）	jf	64
##xxx（学号/工号）	jf	60
##xx学院/部门	jf	48
##xx學校/單位	jf	44
gmboomker@gmail.com	ggem	40

## 常用短语
DevOps	devo	2
Django	djan	2
Deploy	depl	2
GitHub	gith	1
Mac	mac	2
NeoVim	neovi	1
VSCode	vscode	1


馬上到！	msd
什麼玩意兒!	wtf	2
What the fuck!	wtf	1
WTF	wtf	3
星際我爭霸	starcraft
HorizonZeroDawn	hzd	4
地平线：黎明时分	hzd	2
正在開會，一會給你回復：）	meet
中州韻輸入法引擎	rime	2
又双叒叕	yyy
http://rime.im/	rime	1
Rime	rime	3
⌘	cmd Command
⌃	ctl Control
⌥	opt Option
⇧	shift Shift
⇥	tab Tab
⇪	caps CapsLock
⏎	return Return
␣	space Space
⌫	del Del
⎋	esc Escape 
⏏	eject Eject
GBK	gbk
UTF-8	utfba
SeaTable	hdbn
AAC	aac
AAX	aax
AcFUN	acfun
Adblock	adblock
ADSL	adsl
AFP	afp
AGPS	agps
AirTag	airtag
AIFF	aiff
AkelPad	akelpad
AlBayan	albayan
AMD	amd
Amphetamine	amphetamine
Android	android
Annotable	annotable
AnyConnect	anyconnect
AnyDrop	anydrop
AOL	aol
APFS	apfs
API	api
Arduino	arduino
Arial	arial
ARP	arp
aText	atext
Athelas	athelas
ATI	ati
ATM	atm
Automator	automator
Auxo	auxo
Axure	axure
Ayuthaya	ayuthaya
AZW	azw
Bangla	bangla
Baskerville	baskerville
BBC	bbc
BFR	bfr
BigCaslon	bigcaslon
Big Sur	bigsur
Bitcron	bitcron
BlackBerry	black berry
BMP	bmp
Bodoni	bodoni
Brackets	brackets
Bug	bug
Calcbot	calcbot
Calibre	calibre
Calibri	calibri
CATIA	catia
CDMA	cdma
CDN	cdn
Cochin	cochin
Cond	cond
Copperplate	copperplate
Corsiva	corsiva
Cortana	cortana
CPU	cpu
ChatGPT	chatgpt
Curio	curio
Cydia	cydia
CentOS	centos
Devanagari	devanagari
DFU	dfu
DHCP	dhcp
Didot	didot
Diumoo	diumoo
DNS	dns
DOC	doc
DOCX	docx
Drafts	drafts
Droplr	droplr
Due	due
DVD	dvd
DVI	dvi
